Chemical,Plant Part,Compound_ID,SMILES,InChIKey,Molecular_Weight,LogP,HBD,HBA,Rotatable_Bonds,TPSA,Bioactivity_Label,Standard_SMILES,Mol,MolWt,LogP,TPSA,HBD,HBA,Lipinski_OK,Has_Reactive
ICAJINE,Fruit,CID_3083907,CN1CC[C@]23[C@@H]4[C@H]5[C@@H](CC2=O)C(=CCO[C@H]5CC(=O)N4C6=CC=CC=C36)C1,RNZRHJNFQWMXHB-ZXXLSYNSSA-N,364.4,0.3,0,4,0,49.9,Active,CN1CC[C@]23C(=O)C[C@H]4C(=CCO[C@H]5CC(=O)N(c6ccccc62)[C@H]3[C@H]54)C1,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A336F0>,364.44500000000005,1.9092,49.85,0,4,TRUE,FALSE
ISOSTRYCHNINE,Seed,CID_11024113,C1CN2C/C(=C/CO)/[C@@H]3C[C@H]2[C@@]14[C@@H]5C3=CCC(=O)N5C6=CC=CC=C46,PNYOGGAOQVIZDM-JQNVFVSUSA-N,334.4,0.4,1,3,1,43.8,Active,O=C1CC=C2[C@H]3C[C@@H]4N(CC[C@@]45c4ccccc4N1[C@@H]25)C/C3=C/CO,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33760>,334.4190000000001,1.9962000000000004,43.78,1,3,TRUE,FALSE
LOGANIN,Fruit,CID_87691,C[C@H]1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,AMBQHHVBBHTQBF-UOUCRYGSSA-N,390.4,-1.4,5,10,5,155,Active,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A338B0>,390.3850000000001,-2.1508,155.14000000000001,5,10,TRUE,FALSE
MANNOSE,Seed,CID_18950,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,WQZGKKKJIJFFOK-QTVWNMPRSA-N,180.16,-2.6,5,6,1,110,Active,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33920>,180.156,-3.2214,110.38000000000001,5,6,TRUE,FALSE
MYRISTIC-ACID,Seed,CID_11005,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,228.37,5.3,1,2,12,37.3,Active,CCCCCCCCCCCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33990>,228.37599999999995,4.772100000000004,37.3,1,1,TRUE,FALSE
NOVACINE,Fruit,CID_12314414,CN1CC[C@]23[C@@H]4[C@H]5[C@@H](CC2=O)C(=CCO[C@H]5CC(=O)N4C6=CC(=C(C=C36)OC)OC)C1,POLBLONFVZXVPI-SVFVWZOVSA-N,424.5,0.2,0,6,2,68.3,Active,COc1cc2c(cc1OC)[C@@]13CCN(C)CC4=CCO[C@H]5CC(=O)N2[C@H]1[C@H]5[C@H]4CC3=O,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33A00>,424.4970000000002,1.9264,68.31,0,6,TRUE,FALSE
PSEUDOBRUCINE,Fruit,CID_3083630,COC1=C(C=C2C(=C1)[C@]34CCN5[C@]3(C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)O)OC,JNNROFOMHXIAMQ-UDSSAEOASA-N,410.5,1.8,1,6,2,71.5,Active,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@]43O,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33B50>,410.47000000000014,1.4296999999999997,71.47,1,6,TRUE,FALSE
PSEUDOSTRYCHNINE,Fruit,CID_21723446,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@]2([C@@]61C7=CC=CC=C75)O,HCCFPODVEOBUMM-YOQTYQRRSA-N,350.4,1.8,1,4,0,53,Active,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@]46O,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33BC0>,350.41800000000006,1.4124999999999999,53.010000000000005,1,4,TRUE,FALSE
STRYCHNICINE,Leaf,CID_101595,CN1CC[C@]23[C@@H]4[C@H]5[C@@H](CC2=O)C(=CCO[C@H]5CC(=O)N4C6=C3C=CC=C6O)C1,ZMTYENXGROJCEA-LNKPQSDASA-N,380.4,-0.1,1,5,0,70.1,Active,CN1CC[C@]23C(=O)C[C@H]4C(=CCO[C@H]5CC(=O)N(c6c(O)cccc62)[C@H]3[C@H]54)C1,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33D80>,380.4440000000001,1.6148,70.08,1,5,TRUE,FALSE
STRYCHNINE,Root,CID_441071,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,QMGVPVSNSZLJIA-FVWCLLPLSA-N,334.4,1.9,0,3,0,32.8,Active,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33DF0>,334.41900000000004,2.0925000000000002,32.78,0,3,TRUE,FALSE
STRYCHNINE,Leaf,CID_441071,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,QMGVPVSNSZLJIA-FVWCLLPLSA-N,334.4,1.9,0,3,0,32.8,Active,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33E60>,334.41900000000004,2.0925000000000002,32.78,0,3,TRUE,FALSE
STRYCHNINE,Bark,CID_441071,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,QMGVPVSNSZLJIA-FVWCLLPLSA-N,334.4,1.9,0,3,0,32.8,Active,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33ED0>,334.41900000000004,2.0925000000000002,32.78,0,3,TRUE,FALSE
